"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",3,7,12,8,9,0,4,4,3,2
"2",4,7,10,12,9,6,4,3,2,2
"3",5,7,10,0,9,0,0,4,3,2
"4",4,8,10,11,7,5,5,4,2,2
"5",0,11,9,9,10,7,6,4,2,2
"6",0,7,12,10,0,0,0,3,2,2
"7",4,8,9,0,9,0,7,3,3,2
"8",5,0,10,8,9,12,4,3,2,2
"9",3,8,11,0,9,0,6,3,3,2
"10",3,6,8,13,0,7,4,3,2,2
"11",5,0,13,14,0,7,6,3,2,2
"12",6,8,9,11,11,0,4,3,2,2
"13",4,10,0,11,0,0,5,4,2,2
"14",5,7,9,9,11,5,5,3,2,2
"15",4,7,8,11,10,6,5,3,2,2
"16",0,6,12,10,8,0,0,5,2,2
"17",4,0,11,0,10,7,7,3,2,2
"18",4,9,0,0,9,6,6,3,2,2
"19",6,6,0,13,0,6,5,5,2,2
"20",4,6,0,14,0,0,7,4,3,2
"21",3,9,10,9,0,7,7,3,2,2
"22",6,9,0,10,8,0,6,3,2,2
"23",4,9,11,10,10,7,7,3,2,2
"24",4,8,13,11,10,7,5,3,2,2
"25",6,8,8,0,9,8,4,3,2,2
"26",3,7,10,11,11,9,0,4,2,2
"27",3,0,11,8,9,5,6,3,3,2
"28",5,6,0,9,0,5,7,3,3,2
"29",4,11,8,15,10,9,0,3,2,2
"30",5,0,9,0,8,6,5,3,2,2
"31",4,7,10,9,9,0,5,5,2,2
"32",4,8,9,7,11,11,4,4,2,2
"33",3,8,10,8,8,9,6,4,2,2
"34",4,9,0,12,10,0,6,4,2,2
"35",5,7,10,9,10,0,5,3,3,2
"36",5,6,0,9,9,0,6,3,2,2
"37",6,0,0,10,9,10,4,5,2,2
"38",4,6,10,12,12,7,5,3,2,2
"39",4,8,0,12,9,10,3,4,3,2
"40",4,9,14,10,10,7,5,3,2,2
"41",3,10,0,8,10,8,5,3,3,2
"42",4,7,0,8,10,9,6,6,2,2
"43",5,7,9,0,10,8,0,4,5,2
"44",4,0,7,12,11,6,4,3,3,2
"45",4,7,10,13,9,0,6,3,2,2
"46",4,6,13,11,12,0,4,4,3,2
"47",3,6,9,0,10,5,0,3,3,2
"48",4,6,11,11,7,0,0,3,3,2
"49",0,0,9,0,7,6,8,3,2,2
"50",4,7,0,0,9,7,5,3,3,2
"51",4,0,0,12,12,6,5,4,3,2
"52",4,10,12,11,0,7,4,3,2,2
"53",0,0,0,0,9,6,0,3,2,2
"54",6,7,10,0,0,0,5,3,2,2
"55",4,12,10,9,10,0,0,3,2,2
"56",3,8,10,0,11,10,0,5,2,2
"57",0,7,13,0,9,7,5,3,2,2
"58",4,0,7,12,9,6,5,3,3,2
"59",5,8,9,10,11,9,7,3,2,2
"60",5,8,9,10,12,7,3,3,2,2
"61",4,6,10,10,10,0,6,3,2,2
"62",6,8,10,0,0,0,6,4,3,2
"63",0,10,0,9,0,6,0,3,2,2
"64",4,0,11,0,6,9,6,3,3,2
"65",3,13,0,10,10,9,0,3,2,2
"66",6,0,0,10,10,0,5,3,2,2
"67",0,8,0,14,8,5,0,0,4,2
"68",3,0,10,0,0,6,5,0,3,2
"69",4,5,0,18,9,0,4,3,2,2
"70",0,6,9,0,0,6,5,3,3,2
"71",3,7,0,9,10,0,4,3,2,2
"72",5,10,0,10,11,0,7,4,2,2
"73",4,9,9,9,13,12,5,0,2,2
"74",4,7,12,10,0,0,5,4,2,2
"75",3,9,9,11,9,0,5,3,2,2
"76",3,6,9,9,9,0,5,2,3,2
"77",4,9,10,0,10,8,6,4,4,2
"78",4,10,14,9,10,6,0,3,2,2
"79",5,8,9,0,0,8,6,3,2,2
"80",4,10,9,0,0,0,5,4,2,2
"81",4,9,11,10,0,0,4,4,2,2
"82",0,9,10,14,0,0,6,3,3,2
"83",4,7,11,10,8,6,0,3,2,2
"84",5,11,0,0,9,8,0,3,3,2
"85",4,8,9,0,12,8,5,3,2,2
"86",4,8,10,11,0,7,4,4,2,2
"87",4,0,14,10,8,9,5,3,3,2
"88",5,6,0,12,0,0,4,5,2,2
"89",4,7,10,12,12,8,0,4,2,2
"90",4,0,0,0,9,10,7,2,4,2
"91",6,9,10,12,10,0,7,3,2,2
"92",6,10,8,9,10,0,7,4,2,2
"93",7,0,0,12,9,9,5,4,3,2
"94",4,8,10,13,9,6,0,3,2,2
"95",3,7,0,10,0,7,6,3,3,2
"96",3,0,13,10,9,10,0,3,2,2
"97",4,6,13,10,9,8,0,0,3,2
"98",5,7,10,9,10,7,4,3,2,2
"99",3,0,8,0,0,6,6,3,3,2
"100",4,0,9,0,8,6,3,3,2,2
